date,symbol,pnl_usd,cumulative_usd
2019-09-30,GDX,15.72,15.72
2019-09-30,SLV,7.59,23.31
2019-10-21,XLC,59.1,82.41
2019-10-21,XLK,58.25,140.66
2019-10-22,XLF,10.23,150.89
2019-10-22,XLV,71.0,221.89
2019-10-23,KRE,24.44,246.33
2019-10-23,LQD,76.81,323.14
2019-10-23,XLI,80.87,404.01
2019-10-24,XLB,28.67,432.68
2019-10-25,XLP,32.95,465.63
2019-10-25,XLU,28.29,493.92
2019-10-25,XLY,87.86,581.78
2019-10-25,DIA,70.21,651.99
2019-10-28,VNQ,41.3,693.29
2019-10-28,XLRE,38.38,731.67
2019-10-28,HYG,30.98,762.65
2019-10-30,AGG,38.67,801.32
2019-10-31,GLD,121.92,923.24
2019-10-31,IEF,48.06,971.3
2019-11-12,EWZ,7.87,979.17
2019-11-12,XLE,8.45,987.62
2019-11-13,FXI,17.99,1005.61
2019-11-15,SMH,-127.71,877.9
2019-11-15,QQQ,-157.36,720.54
2019-11-15,EFA,-11.57,708.97
2019-11-15,IWM,-405.88,303.09
2019-11-15,XBI,-419.31,-116.22
2019-11-15,SPY,-267.98,-384.2
2019-11-29,EEM,25.84,-358.36
2019-12-30,XBI,50.33,-308.03
2020-01-03,AGG,22.42,-285.61
2020-01-03,EFA,46.19,-239.42
2020-01-03,XLV,49.37,-190.05
2020-01-03,XLY,47.88,-142.17
2020-01-06,HYG,27.6,-114.57
2020-01-06,IEF,34.06,-80.51
2020-01-06,IWM,107.57,27.06
2020-01-06,LQD,73.64,100.7
2020-01-06,SMH,56.17,156.87
2020-01-06,XLP,17.81,174.68
2020-01-07,DIA,113.8,288.48
2020-01-07,SPY,109.95,398.43
2020-01-09,XLU,22.48,420.91
2020-01-09,XLI,39.13,460.04
2020-01-13,XLB,47.82,507.86
2020-01-14,KRE,41.19,549.05
2020-01-15,FXI,21.0,570.05
2020-01-15,EWZ,7.4,577.45
2020-01-17,GLD,-309.66,267.79
2020-01-17,QQQ,-294.36,-26.57
2020-01-17,XLC,-207.96,-234.53
2020-01-17,XLK,-128.13,-362.66
2020-02-03,XLRE,39.67,-322.99
2020-02-05,EEM,36.85,-286.14
2020-02-05,XLF,5.89,-280.25
2020-02-06,GDX,38.61,-241.64
2020-02-06,SLV,18.9,-222.74
2020-02-10,XBI,71.83,-150.91
2020-02-11,XLV,50.31,-100.6
2020-02-24,XLC,52.64,-47.96
2020-02-24,XLK,49.58,1.62
2020-02-24,SMH,57.51,59.13
2020-02-25,QQQ,84.52,143.65
2020-02-25,FXI,10.46,154.11
2020-02-26,LQD,40.27,194.38
2020-02-26,VNQ,25.15,219.53
2020-03-04,XLU,17.21,236.74
2020-03-11,AGG,40.07,276.81
2020-03-12,GLD,141.1,417.91
2020-03-12,EEM,24.62,442.53
2020-03-12,SLV,10.67,453.2
2020-03-20,EFA,-353.84,99.36
2020-03-20,HYG,-141.85,-42.49
2020-03-20,IEF,-119.97,-162.46
2020-03-20,IWM,-294.38,-456.84
2020-03-20,XLB,-122.11,-578.95
2020-03-20,XLP,-115.72,-694.67
2020-03-20,XLY,-358.97,-1053.64
2020-03-20,DIA,-264.6,-1318.24
2020-03-20,KRE,-116.72,-1434.96
2020-05-15,VNQ,19.04,-1415.92
2020-06-03,GDX,23.75,-1392.17
2020-06-10,XBI,47.77,-1344.4
2020-06-11,XLE,7.32,-1337.08
2020-06-18,XLF,10.62,-1326.46
2020-06-19,IWM,99.07,-1227.39
2020-06-19,XLI,-240.47,-1467.86
2020-06-19,XLB,26.59,-1441.27
2020-06-22,AGG,18.68,-1422.59
2020-06-25,IEF,21.88,-1400.71
2020-06-26,TLT,27.61,-1373.1
2020-06-26,KRE,14.31,-1358.79
2020-06-29,XLC,88.27,-1270.52
2020-06-29,XLY,106.7,-1163.82
2020-07-02,EEM,39.57,-1124.25
2020-07-06,XLV,79.64,-1044.61
2020-07-06,EFA,109.15,-935.46
2020-07-06,SPY,85.44,-850.02
2020-07-07,XLP,44.3,-805.72
2020-07-13,EWZ,7.92,-797.8
2020-07-13,FXI,21.08,-776.72
2020-07-15,XLRE,40.99,-735.73
2020-07-16,GLD,110.73,-625.0
2020-07-17,LQD,-76.46,-701.46
2020-07-17,SLV,-68.01,-769.47
2020-07-17,XLK,12.46,-757.01
2020-07-17,SMH,16.13,-740.88
2020-07-17,XLU,79.71,-661.17
2020-07-24,QQQ,67.9,-593.27
2020-07-24,XBI,52.86,-540.41
2020-08-03,SMH,65.19,-475.22
2020-08-05,AGG,3.35,-471.87
2020-08-07,EFA,69.44,-402.43
2020-08-07,EWZ,8.03,-394.4
2020-08-10,EEM,41.37,-353.03
2020-08-10,IEF,25.78,-327.25
2020-08-10,LQD,42.9,-284.35
2020-08-10,XLC,97.61,-186.74
2020-08-10,XLK,76.09,-110.65
2020-08-10,XLV,109.03,-1.62
2020-08-11,HYG,42.88,41.26
2020-08-11,TLT,44.49,85.75
2020-08-18,IWM,48.94,134.69
2020-08-20,XLB,52.28,186.97
2020-08-21,GDX,-56.56,130.41
2020-08-21,GLD,-340.43,-210.02
2020-08-21,SLV,-65.61,-275.63
2020-08-21,XLP,-48.18,-323.81
2020-08-21,XLY,-25.3,-349.11
2020-08-21,FXI,13.57,-335.54
2020-08-21,KRE,14.52,-321.02
2020-09-02,XLRE,45.21,-275.81
2020-09-08,XLI,143.31,-132.5
2020-09-08,XLU,32.84,-99.66
2020-09-08,QQQ,60.65,-39.01
2020-09-08,XLY,42.19,3.18
2020-09-16,SPY,65.85,69.03
2020-09-28,IEF,39.37,108.4
2020-09-28,XLB,38.45,146.85
2020-09-29,EFA,104.85,251.7
2020-09-29,LQD,97.54,349.24
2020-09-30,XLP,43.32,392.56
2020-10-01,EEM,44.32,436.88
2020-10-01,XBI,92.95,529.83
2020-10-01,XLK,118.85,648.68
2020-10-05,HYG,53.33,702.01
2020-10-05,XLC,105.78,807.79
2020-10-05,XLV,66.42,874.21
2020-10-05,IWM,103.27,977.48
2020-10-09,GDX,45.31,1022.79
2020-10-09,GLD,116.0,1138.79
2020-10-12,AGG,43.67,1182.46
2020-10-12,FXI,17.19,1199.65
2020-10-16,SLV,44.39,1244.04
2020-10-22,XLRE,21.44,1265.48
2020-10-28,XLE,5.85,1271.33
2020-10-28,XLK,46.03,1317.36
2020-11-02,XLI,103.93,1421.29
2020-11-04,XBI,84.89,1506.18
2020-11-09,XLF,22.56,1528.74
2020-11-09,LQD,59.11,1587.85
2020-11-10,XLP,44.04,1631.89
2020-11-10,VNQ,27.95,1659.84
2020-11-12,GLD,117.57,1777.41
2020-11-12,HYG,35.22,1812.63
2020-11-12,XLB,34.67,1847.3
2020-11-16,SPY,74.59,1921.89
2020-11-17,TLT,50.19,1972.08
2020-11-17,AGG,18.83,1990.91
2020-11-17,EWZ,12.87,2003.78
2020-11-18,XLU,32.03,2035.81
2020-11-18,XLC,116.1,2151.91
2020-11-18,XLV,191.22,2343.13
2020-11-20,SMH,-274.12,2069.01
2020-11-20,EFA,-215.92,1853.09
2020-11-30,IEF,39.24,1892.33
2020-11-30,XLY,107.61,1999.94
2020-12-08,XBI,79.57,2079.51
2020-12-16,SLV,24.33,2103.84
2020-12-17,GLD,77.0,2180.84
2020-12-18,QQQ,111.81,2292.65
2020-12-18,EEM,-17.89,2274.76
2020-12-18,KRE,-111.67,2163.09
2020-12-18,IWM,-392.17,1770.92
2020-12-24,LQD,75.17,1846.09
2020-12-24,XLC,82.52,1928.61
2020-12-28,DIA,86.42,2015.03
2020-12-28,EFA,91.16,2106.19
2020-12-28,XLB,37.75,2143.94
2020-12-28,XLP,39.52,2183.46
2020-12-29,HYG,30.94,2214.4
2020-12-30,XLI,110.99,2325.39
2020-12-31,AGG,33.5,2358.89
2020-12-31,XLRE,37.43,2396.32
2021-01-04,XLV,110.23,2506.55
2021-01-05,FXI,13.74,2520.29
2021-01-06,XLU,42.74,2563.03
2021-01-15,SMH,-337.27,2225.76
2021-01-27,SMH,54.92,2280.68
2021-02-01,AGG,12.97,2293.65
2021-02-02,IEF,14.7,2308.35
2021-02-08,HYG,35.26,2343.61
2021-02-08,XLF,16.44,2360.05
2021-02-08,XLI,108.59,2468.64
2021-02-08,XLU,39.08,2507.72
2021-02-09,XLY,113.34,2621.06
2021-02-09,XLP,43.77,2664.83
2021-02-09,XLV,93.87,2758.7
2021-02-12,XLB,48.58,2807.28
2021-02-16,EWZ,20.11,2827.39
2021-02-16,XLRE,62.56,2889.95
2021-02-16,EFA,53.65,2943.6
2021-02-16,KRE,32.67,2976.27
2021-02-16,XLE,14.77,2991.04
2021-02-17,XLK,107.47,3098.51
2021-02-19,XLC,43.38,3141.89
2021-02-24,FXI,10.38,3152.27
2021-03-03,XLY,51.14,3203.41
2021-03-12,IWM,83.57,3286.98
2021-03-19,LQD,-328.49,2958.49
2021-03-26,HYG,28.38,2986.87
2021-03-29,XLC,104.06,3090.93
2021-03-29,XLK,109.93,3200.86
2021-03-30,VNQ,38.11,3238.97
2021-03-30,XLV,107.06,3346.03
2021-03-31,XLRE,33.42,3379.45
2021-03-31,XLF,17.05,3396.5
2021-03-31,QQQ,81.35,3477.85
2021-04-09,EWZ,8.67,3486.52
2021-04-12,GDX,16.2,3502.72
2021-04-14,EEM,30.88,3533.6
2021-04-16,XLI,-20.51,3513.09
2021-04-16,XLP,-113.26,3399.83
2021-04-16,XBI,-64.78,3335.05
2021-04-16,XLB,-54.45,3280.6
2021-04-16,XLU,-160.43,3120.17
2021-04-28,XLE,11.95,3132.12
2021-04-29,KRE,29.19,3161.31
2021-05-05,EWZ,11.17,3172.48
2021-05-10,FXI,15.63,3188.11
2021-05-10,TLT,27.54,3215.65
2021-05-10,EEM,38.34,3253.99
2021-05-10,HYG,26.04,3280.03
2021-05-10,XLC,106.27,3386.3
2021-05-10,XLU,26.26,3412.56
2021-05-10,XLRE,37.14,3449.7
2021-05-10,XBI,59.53,3509.23
2021-05-11,XLV,115.3,3624.53
2021-05-11,VNQ,44.15,3668.68
2021-05-12,EFA,86.58,3755.26
2021-05-12,SPY,102.94,3858.2
2021-05-12,DIA,97.32,3955.52
2021-05-12,XLI,49.46,4004.98
2021-05-12,XLP,24.01,4028.99
2021-05-19,SMH,136.24,4165.23
2021-05-20,XLK,158.07,4323.3
2021-05-20,XLB,34.59,4357.89
2021-05-21,GLD,-394.39,3963.5
2021-05-21,SLV,-12.9,3950.6
2021-05-21,XLY,1.56,3952.16
2021-06-01,IWM,97.2,4049.36
2021-06-02,EWZ,13.93,4063.29
2021-06-03,AGG,14.92,4078.21
2021-06-04,QQQ,89.95,4168.16
2021-06-10,XLF,18.38,4186.54
2021-06-10,XLU,10.84,4197.38
2021-06-11,XLK,47.38,4244.76
2021-06-14,GDX,27.1,4271.86
2021-06-17,DIA,66.38,4338.24
2021-06-23,XLY,67.64,4405.88
2021-06-24,SMH,76.85,4482.73
2021-06-28,EEM,37.72,4520.45
2021-06-29,XLC,82.85,4603.3
2021-06-30,XLP,34.29,4637.59
2021-07-02,XLI,98.18,4735.77
2021-07-06,HYG,25.83,4761.6
2021-07-06,FXI,10.81,4772.41
2021-07-07,EFA,101.99,4874.4
2021-07-16,GLD,-292.03,4582.37
2021-07-16,VNQ,-43.64,4538.73
2021-07-16,XLB,-109.26,4429.47
2021-07-16,XLRE,-50.69,4378.78
2021-07-16,XLV,-23.16,4355.62
2021-07-16,XLE,-70.8,4284.82
2021-07-16,SLV,-66.11,4218.71
2021-07-16,KRE,-111.28,4107.43
2021-07-23,GDX,19.0,4126.43
2021-07-29,XLF,13.57,4140.0
2021-08-05,LQD,92.45,4232.45
2021-08-05,IWM,73.36,4305.81
2021-08-06,TLT,22.45,4328.26
2021-08-06,XLP,28.8,4357.06
2021-08-09,HYG,31.57,4388.63
2021-08-09,XLRE,36.88,4425.51
2021-08-10,XLK,84.69,4510.2
2021-08-13,IEF,43.86,4554.06
2021-08-13,XLY,92.73,4646.79
2021-08-16,AGG,50.24,4697.03
2021-08-16,XLI,109.81,4806.84
2021-08-16,XLE,12.93,4819.77
2021-08-17,EFA,129.26,4949.03
2021-08-17,XLC,115.66,5064.69
2021-08-18,KRE,25.58,5090.27
2021-08-19,XLB,22.72,5112.99
2021-08-20,EEM,-95.93,5017.06
2021-08-20,XLU,-29.56,4987.5
2021-08-20,XLV,-307.15,4680.35
2021-08-20,EWZ,-68.63,4611.72
2021-08-30,SMH,77.11,4688.83
2021-09-07,EFA,50.22,4739.05
2021-09-10,SPY,80.69,4819.74
2021-09-13,GLD,59.84,4879.58
2021-09-16,XLY,62.7,4942.28
2021-09-16,XLU,19.04,4961.32
2021-09-20,FXI,9.12,4970.44
2021-09-20,QQQ,90.83,5061.27
2021-09-22,LQD,76.63,5137.9
2021-09-23,XLE,14.67,5152.57
