date,symbol,pnl_usd,cumulative_usd
2019-09-30,GDX,15.72,15.72
2019-09-30,SLV,7.59,23.31
2019-10-21,XLC,59.1,82.41
2019-10-21,XLK,58.25,140.66
2019-10-22,XLF,10.23,150.89
2019-10-22,XLV,71.0,221.89
2019-10-23,KRE,24.44,246.33
2019-10-23,LQD,76.81,323.14
2019-10-23,XLI,80.87,404.01
2019-10-24,XLB,28.67,432.68
2019-10-25,XLP,32.95,465.63
2019-10-25,XLU,28.29,493.92
2019-10-25,XLY,87.86,581.78
2019-10-25,DIA,70.21,651.99
2019-10-28,VNQ,41.3,693.29
2019-10-28,XLRE,38.38,731.67
2019-10-28,HYG,30.98,762.65
2019-10-28,XBI,111.58,874.23
2019-10-29,FXI,16.23,890.46
2019-10-30,AGG,38.67,929.13
2019-10-31,EEM,34.74,963.87
2019-10-31,GLD,121.92,1085.79
2019-10-31,IEF,48.06,1133.85
2019-11-04,XLE,13.04,1146.89
2019-11-12,EWZ,7.87,1154.76
2019-11-15,SMH,-127.71,1027.05
2019-11-15,QQQ,-157.36,869.69
2019-11-15,EFA,-11.57,858.12
2019-11-15,IWM,33.67,891.79
2019-11-15,SPY,-267.98,623.81
2019-12-30,XBI,50.33,674.14
2020-01-03,AGG,22.42,696.56
2020-01-03,EFA,46.19,742.75
2020-01-03,XLV,49.37,792.12
2020-01-03,XLY,47.88,840.0
2020-01-06,EEM,33.05,873.05
2020-01-06,HYG,27.6,900.65
2020-01-06,IEF,34.06,934.71
2020-01-06,IWM,107.57,1042.28
2020-01-06,LQD,73.64,1115.92
2020-01-06,SMH,56.17,1172.09
2020-01-06,XLP,17.81,1189.9
2020-01-07,DIA,113.8,1303.7
2020-01-07,SPY,109.95,1413.65
2020-01-07,XLRE,39.41,1453.06
2020-01-09,XLU,22.48,1475.54
2020-01-09,XLI,39.13,1514.67
2020-01-13,XLB,47.82,1562.49
2020-01-14,KRE,41.19,1603.68
2020-01-15,FXI,21.0,1624.68
2020-01-15,EWZ,7.4,1632.08
2020-01-17,GLD,-309.66,1322.42
2020-01-17,QQQ,-294.36,1028.06
2020-01-17,XLC,-207.96,820.1
2020-01-17,XLK,-128.13,691.97
2020-02-05,XLF,5.89,697.86
2020-02-06,GDX,38.61,736.47
2020-02-06,SLV,18.9,755.37
2020-02-10,XBI,71.83,827.2
2020-02-11,XLV,50.31,877.51
2020-02-21,XLE,-53.35,824.16
2020-02-24,XLC,52.64,876.8
2020-02-24,XLK,49.58,926.38
2020-02-24,SMH,57.51,983.89
2020-02-25,QQQ,84.52,1068.41
2020-02-25,FXI,10.46,1078.87
2020-02-26,LQD,40.27,1119.14
2020-02-26,VNQ,25.15,1144.29
2020-03-04,XLRE,33.69,1177.98
2020-03-04,XLU,17.21,1195.19
2020-03-11,AGG,40.07,1235.26
2020-03-12,GLD,141.1,1376.36
2020-03-12,SLV,10.67,1387.03
2020-03-20,EEM,-116.16,1270.87
2020-03-20,EFA,-353.84,917.03
2020-03-20,HYG,-141.85,775.18
2020-03-20,IEF,-119.97,655.21
2020-03-20,IWM,-294.38,360.83
2020-03-20,XLB,-122.11,238.72
2020-03-20,XLP,-115.72,123.0
2020-03-20,XLY,-358.97,-235.97
2020-03-20,DIA,-264.6,-500.57
2020-03-20,KRE,-116.72,-617.29
2020-04-08,GDX,41.17,-576.12
2020-05-15,VNQ,19.04,-557.08
2020-05-26,SPY,85.08,-472.0
2020-06-01,AGG,31.0,-441.0
2020-06-02,GLD,103.84,-337.16
2020-06-03,GDX,23.75,-313.41
2020-06-04,LQD,98.12,-215.29
2020-06-04,XLU,40.86,-174.43
2020-06-05,KRE,36.88,-137.55
2020-06-09,XLV,114.02,-23.53
2020-06-10,XBI,47.77,24.24
2020-06-11,FXI,19.2,43.44
2020-06-11,SMH,107.82,151.26
2020-06-11,XLC,79.81,231.07
2020-06-11,XLE,7.32,238.39
2020-06-11,XLK,101.31,339.7
2020-06-11,XLP,65.52,405.22
2020-06-11,XLB,40.93,446.15
2020-06-11,XLRE,62.27,508.42
2020-06-11,IEF,14.17,522.59
2020-06-18,TLT,32.43,555.02
2020-06-18,XLF,10.62,565.64
2020-06-19,EEM,-17.28,548.36
2020-06-19,EFA,-31.46,516.9
2020-06-19,IWM,99.07,615.97
2020-06-19,SLV,-84.15,531.82
2020-06-19,XLI,-28.91,502.91
2020-06-19,XLY,17.53,520.44
2020-06-19,HYG,-2.61,517.83
2020-07-06,SLV,6.94,524.77
2020-07-13,EWZ,7.92,532.69
2020-07-20,HYG,22.58,555.27
2020-07-20,SPY,88.51,643.78
2020-07-21,XLE,10.74,654.52
2020-07-24,QQQ,67.9,722.42
2020-07-24,XBI,52.86,775.28
2020-07-28,XLC,81.65,856.93
2020-07-28,XLK,89.64,946.57
2020-07-28,VNQ,31.75,978.32
2020-07-29,IEF,32.56,1010.88
2020-07-29,XLF,12.28,1023.16
2020-07-30,EFA,98.36,1121.52
2020-08-05,XLU,36.86,1158.38
2020-08-05,XLRE,33.83,1192.21
2020-08-07,FXI,7.6,1199.81
2020-08-07,EWZ,8.03,1207.84
2020-08-10,XLV,112.3,1320.14
2020-08-11,AGG,37.73,1357.87
2020-08-11,LQD,74.62,1432.49
2020-08-11,TLT,44.49,1476.98
2020-08-18,IWM,48.94,1525.92
2020-08-20,EEM,54.25,1580.17
2020-08-20,SMH,107.7,1687.87
2020-08-20,XLB,52.28,1740.15
2020-08-20,XLI,147.04,1887.19
2020-08-21,GLD,-277.35,1609.84
2020-08-21,XLY,-111.09,1498.75
2020-08-21,GDX,-56.56,1442.19
2020-08-21,XLP,-121.95,1320.24
2020-09-04,KRE,40.61,1360.85
2020-09-08,QQQ,60.65,1421.5
2020-09-08,SMH,50.17,1471.67
2020-09-08,XLY,42.19,1513.86
2020-09-08,SPY,80.36,1594.22
2020-09-22,FXI,9.35,1603.57
2020-09-28,IEF,39.37,1642.94
2020-09-28,XLI,112.41,1755.35
2020-09-28,XLU,36.36,1791.71
2020-09-28,XLB,38.45,1830.16
2020-09-29,EFA,104.85,1935.01
2020-09-29,LQD,97.54,2032.55
2020-09-30,XLP,43.32,2075.87
2020-09-30,XLRE,41.8,2117.67
2020-10-01,EEM,44.32,2161.99
2020-10-01,XBI,92.95,2254.94
2020-10-01,XLK,118.85,2373.79
2020-10-05,HYG,53.33,2427.12
2020-10-05,XLC,105.78,2532.9
2020-10-05,XLV,66.42,2599.32
2020-10-05,IWM,103.27,2702.59
2020-10-05,XLF,14.25,2716.84
2020-10-09,GDX,45.31,2762.15
2020-10-09,GLD,116.0,2878.15
2020-10-12,AGG,43.67,2921.82
2020-10-16,XLE,-59.63,2862.19
2020-10-16,SLV,44.39,2906.58
2020-10-22,KRE,35.02,2941.6
2020-10-27,SMH,45.07,2986.67
2020-10-27,XLI,53.07,3039.74
2020-10-28,XLE,5.85,3045.59
2020-10-28,XLK,46.03,3091.62
2020-11-04,XBI,84.89,3176.51
2020-11-05,EWZ,12.72,3189.23
2020-11-05,XLF,12.58,3201.81
2020-11-06,XLU,25.14,3226.95
2020-11-09,LQD,59.11,3286.06
2020-11-10,XLP,44.04,3330.1
2020-11-10,VNQ,27.95,3358.05
2020-11-12,GLD,117.57,3475.62
2020-11-12,HYG,35.22,3510.84
2020-11-12,XLB,34.67,3545.51
2020-11-16,SPY,74.59,3620.1
2020-11-17,TLT,50.19,3670.29
2020-11-17,AGG,18.83,3689.12
2020-11-18,XLC,116.1,3805.22
2020-11-18,XLV,191.22,3996.44
2020-11-20,EFA,-215.92,3780.52
2020-11-30,IEF,39.24,3819.76
2020-11-30,XLRE,41.6,3861.36
2020-11-30,XLY,107.61,3968.97
2020-12-07,FXI,18.76,3987.73
2020-12-08,XBI,79.57,4067.3
2020-12-16,SLV,24.33,4091.63
2020-12-17,GLD,77.0,4168.63
2020-12-18,QQQ,111.81,4280.44
2020-12-18,EEM,-17.89,4262.55
2020-12-18,IWM,-392.17,3870.38
2020-12-24,LQD,75.17,3945.55
2020-12-24,XLC,82.52,4028.07
2020-12-28,DIA,86.42,4114.49
2020-12-28,EFA,91.16,4205.65
2020-12-28,XLB,37.75,4243.4
2020-12-28,XLP,39.52,4282.92
2020-12-29,HYG,30.94,4313.86
2020-12-30,XLI,110.99,4424.85
2020-12-31,AGG,33.5,4458.35
2021-01-04,KRE,18.92,4477.27
2021-01-04,XLV,110.23,4587.5
2021-01-06,XLU,42.74,4630.24
2021-01-15,SMH,-337.27,4292.97
2021-01-27,SMH,54.92,4347.89
2021-02-01,AGG,12.97,4360.86
2021-02-02,IEF,14.7,4375.56
2021-02-08,GDX,32.15,4407.71
2021-02-08,XLRE,40.09,4447.8
2021-02-08,HYG,35.26,4483.06
2021-02-08,XLF,16.44,4499.5
2021-02-08,XLI,108.59,4608.09
2021-02-08,XLU,39.08,4647.17
2021-02-09,XLY,113.34,4760.51
2021-02-09,XLP,43.77,4804.28
2021-02-09,XLV,93.87,4898.15
2021-02-12,XLB,48.58,4946.73
2021-02-16,EWZ,20.11,4966.84
2021-02-16,EFA,53.65,5020.49
2021-02-16,KRE,32.67,5053.16
2021-02-16,XLE,14.77,5067.93
2021-02-17,XLK,107.47,5175.4
2021-02-19,XLC,43.38,5218.78
2021-02-24,FXI,10.38,5229.16
2021-03-03,XLY,51.14,5280.3
2021-03-12,IWM,83.57,5363.87
2021-03-19,LQD,-328.49,5035.38
2021-03-26,HYG,28.38,5063.76
2021-03-29,XLC,104.06,5167.82
2021-03-29,XLK,109.93,5277.75
2021-03-30,VNQ,38.11,5315.86
2021-03-30,XLV,107.06,5422.92
2021-03-31,XLRE,33.42,5456.34
2021-03-31,XLF,17.05,5473.39
2021-03-31,QQQ,81.35,5554.74
2021-04-01,GDX,46.74,5601.48
2021-04-01,GLD,120.5,5721.98
2021-04-09,EWZ,8.67,5730.65
2021-04-14,EEM,30.88,5761.53
2021-04-15,AGG,14.02,5775.55
2021-04-15,TLT,46.89,5822.44
2021-04-16,IEF,-109.98,5712.46
2021-04-16,XLI,-20.51,5691.95
2021-04-16,XLP,-113.26,5578.69
2021-04-16,XLU,-101.9,5476.79
2021-04-16,XBI,-64.78,5412.01
2021-04-16,XLB,-54.45,5357.56
2021-04-28,XLE,11.95,5369.51
2021-04-29,LQD,96.61,5466.12
2021-04-29,KRE,29.19,5495.31
2021-05-05,EWZ,11.17,5506.48
2021-05-06,AGG,21.12,5527.6
2021-05-07,GDX,30.05,5557.65
2021-05-10,FXI,15.63,5573.28
2021-05-10,EEM,38.34,5611.62
2021-05-10,HYG,26.04,5637.66
2021-05-10,IEF,38.08,5675.74
2021-05-10,XLC,106.27,5782.01
2021-05-10,XLU,26.26,5808.27
2021-05-10,XLRE,37.14,5845.41
2021-05-10,XBI,59.53,5904.94
2021-05-11,XLV,115.3,6020.24
2021-05-11,VNQ,44.15,6064.39
2021-05-11,TLT,22.64,6087.03
2021-05-12,EFA,86.58,6173.61
2021-05-12,SPY,102.94,6276.55
2021-05-12,DIA,97.32,6373.87
2021-05-12,XLI,49.46,6423.33
2021-05-12,XLP,24.01,6447.34
2021-05-19,SMH,136.24,6583.58
2021-05-20,XLK,158.07,6741.65
2021-05-20,XLB,34.59,6776.24
2021-05-21,SLV,-19.63,6756.61
2021-05-21,GLD,-199.63,6556.98
2021-05-21,XLY,1.56,6558.54
2021-06-01,IWM,97.2,6655.74
2021-06-02,EWZ,13.93,6669.67
2021-06-04,QQQ,89.95,6759.62
2021-06-10,XLF,18.38,6778.0
2021-06-10,XLU,10.84,6788.84
2021-06-11,XLK,47.38,6836.22
2021-06-17,DIA,66.38,6902.6
2021-06-21,AGG,11.35,6913.95
2021-06-23,XLY,67.64,6981.59
2021-06-24,SMH,76.85,7058.44
2021-06-25,IEF,23.55,7081.99
2021-06-28,EEM,37.72,7119.71
2021-06-29,XLC,82.85,7202.56
2021-06-30,XLP,34.29,7236.85
2021-07-02,XLI,98.18,7335.03
2021-07-06,HYG,25.83,7360.86
2021-07-07,EFA,101.99,7462.85
2021-07-13,LQD,65.27,7528.12
2021-07-13,FXI,18.85,7546.97
2021-07-16,GDX,-113.05,7433.92
2021-07-16,GLD,-292.03,7141.89
2021-07-16,VNQ,-43.64,7098.25
2021-07-16,XLB,-109.26,6988.99
2021-07-16,XLRE,-50.69,6938.3
2021-07-16,XLV,-23.16,6915.14
2021-07-16,XLE,-70.8,6844.34
2021-07-16,SLV,-66.11,6778.23
2021-07-16,KRE,-111.28,6666.95
2021-07-29,XLF,13.57,6680.52
2021-08-05,IWM,73.36,6753.88
2021-08-05,XBI,87.7,6841.58
2021-08-06,TLT,22.45,6864.03
2021-08-06,XLP,28.8,6892.83
2021-08-09,HYG,31.57,6924.4
2021-08-09,XLRE,36.88,6961.28
2021-08-10,XLK,84.69,7045.97
