date,symbol,pnl_usd,cumulative_usd
2019-09-30,GDX,15.72,15.72
2019-09-30,SLV,7.59,23.31
2019-10-21,XLC,59.1,82.41
2019-10-21,XLK,58.25,140.66
2019-10-22,XLF,10.23,150.89
2019-10-22,XLV,71.0,221.89
2019-10-23,KRE,24.44,246.33
2019-10-23,LQD,76.81,323.14
2019-10-23,XLI,80.87,404.01
2019-10-24,XLB,28.67,432.68
2019-10-25,XLP,32.95,465.63
2019-10-25,XLU,28.29,493.92
2019-10-25,XLY,87.86,581.78
2019-10-25,DIA,70.21,651.99
2019-10-28,VNQ,41.3,693.29
2019-10-28,XLRE,38.38,731.67
2019-10-28,HYG,30.98,762.65
2019-10-30,AGG,38.67,801.32
2019-10-31,GLD,121.92,923.24
2019-10-31,IEF,48.06,971.3
2019-11-12,EWZ,7.87,979.17
2019-11-12,XLE,8.45,987.62
2019-11-13,FXI,17.99,1005.61
2019-11-15,SMH,-127.71,877.9
2019-11-15,QQQ,-157.36,720.54
2019-11-15,EFA,-11.57,708.97
2019-11-15,IWM,-405.88,303.09
2019-11-15,XBI,-419.31,-116.22
2019-11-15,SPY,-267.98,-384.2
2019-11-29,EEM,25.84,-358.36
2019-12-30,XBI,50.33,-308.03
2020-01-03,AGG,22.42,-285.61
2020-01-03,EFA,46.19,-239.42
2020-01-03,XLV,49.37,-190.05
2020-01-03,XLY,47.88,-142.17
2020-01-06,HYG,27.6,-114.57
2020-01-06,IEF,34.06,-80.51
2020-01-06,IWM,107.57,27.06
2020-01-06,LQD,73.64,100.7
2020-01-06,SMH,56.17,156.87
2020-01-06,XLP,17.81,174.68
2020-01-07,DIA,113.8,288.48
2020-01-07,SPY,109.95,398.43
2020-01-09,XLU,22.48,420.91
2020-01-09,XLI,39.13,460.04
2020-01-13,XLB,47.82,507.86
2020-01-14,KRE,41.19,549.05
2020-01-15,FXI,21.0,570.05
2020-01-15,EWZ,7.4,577.45
2020-01-17,GLD,-309.66,267.79
2020-01-17,QQQ,-294.36,-26.57
2020-01-17,XLC,-207.96,-234.53
2020-01-17,XLK,-128.13,-362.66
2020-02-03,XLRE,39.67,-322.99
2020-02-05,EEM,36.85,-286.14
2020-02-05,XLF,5.89,-280.25
2020-02-06,GDX,38.61,-241.64
2020-02-06,SLV,18.9,-222.74
2020-02-10,XBI,71.83,-150.91
2020-02-11,XLV,50.31,-100.6
2020-02-24,XLC,52.64,-47.96
2020-02-24,XLK,49.58,1.62
2020-02-24,SMH,57.51,59.13
2020-02-25,QQQ,84.52,143.65
2020-02-25,FXI,10.46,154.11
2020-02-26,LQD,40.27,194.38
2020-02-26,VNQ,25.15,219.53
2020-03-04,XLU,17.21,236.74
2020-03-11,AGG,40.07,276.81
2020-03-12,GLD,141.1,417.91
2020-03-12,EEM,24.62,442.53
2020-03-12,SLV,10.67,453.2
2020-03-20,EFA,-353.84,99.36
2020-03-20,HYG,-141.85,-42.49
2020-03-20,IEF,-119.97,-162.46
2020-03-20,IWM,-294.38,-456.84
2020-03-20,XLB,-122.11,-578.95
2020-03-20,XLP,-115.72,-694.67
2020-03-20,XLY,-358.97,-1053.64
2020-03-20,DIA,-264.6,-1318.24
2020-03-20,KRE,-116.72,-1434.96
2020-05-15,VNQ,19.04,-1415.92
2020-06-01,AGG,31.0,-1384.92
2020-06-02,GLD,103.84,-1281.08
2020-06-03,GDX,23.75,-1257.33
2020-06-04,LQD,98.12,-1159.21
2020-06-09,XLV,114.02,-1045.19
2020-06-10,XBI,47.77,-997.42
2020-06-11,SMH,107.82,-889.6
2020-06-11,XLE,7.32,-882.28
2020-06-11,XLK,101.31,-780.97
2020-06-11,IEF,14.17,-766.8
2020-06-11,XLC,93.06,-673.74
2020-06-18,TLT,32.43,-641.31
2020-06-18,XLF,10.62,-630.69
2020-06-19,IWM,99.07,-531.62
2020-06-19,XLI,-240.47,-772.09
2020-06-19,XLB,26.59,-745.5
2020-06-26,XLY,100.42,-645.08
2020-06-26,KRE,14.31,-630.77
2020-07-02,EEM,39.57,-591.2
2020-07-06,EFA,109.15,-482.05
2020-07-06,SPY,85.44,-396.61
2020-07-07,XLP,44.3,-352.31
2020-07-13,EWZ,7.92,-344.39
2020-07-13,FXI,21.08,-323.31
2020-07-15,XLRE,40.99,-282.32
2020-07-17,SLV,-64.61,-346.93
2020-07-17,XLU,79.71,-267.22
2020-07-24,QQQ,67.9,-199.32
2020-07-24,XBI,52.86,-146.46
2020-07-28,XLC,81.65,-64.81
2020-07-28,XLK,89.64,24.83
2020-07-29,IEF,32.56,57.39
2020-08-07,EFA,69.44,126.83
2020-08-07,EWZ,8.03,134.86
2020-08-10,XLV,112.3,247.16
2020-08-10,EEM,41.37,288.53
2020-08-11,AGG,37.73,326.26
2020-08-11,LQD,74.62,400.88
2020-08-11,HYG,42.88,443.76
2020-08-11,TLT,44.49,488.25
2020-08-18,IWM,48.94,537.19
2020-08-20,SMH,107.7,644.89
2020-08-20,XLB,52.28,697.17
2020-08-21,GLD,-277.35,419.82
2020-08-21,GDX,-56.56,363.26
2020-08-21,SLV,-65.61,297.65
2020-08-21,XLP,-48.18,249.47
2020-08-21,XLY,-25.3,224.17
2020-08-21,FXI,13.57,237.74
2020-08-21,KRE,14.52,252.26
2020-09-02,XLRE,45.21,297.47
2020-09-08,XLI,143.31,440.78
2020-09-08,XLU,32.84,473.62
2020-09-08,QQQ,60.65,534.27
2020-09-08,SMH,50.17,584.44
2020-09-08,XLY,42.19,626.63
2020-09-16,SPY,65.85,692.48
2020-09-28,IEF,39.37,731.85
2020-09-28,XLB,38.45,770.3
2020-09-29,EFA,104.85,875.15
2020-09-29,LQD,97.54,972.69
2020-09-30,XLP,43.32,1016.01
2020-10-01,EEM,44.32,1060.33
2020-10-01,XBI,92.95,1153.28
2020-10-01,XLK,118.85,1272.13
2020-10-05,HYG,53.33,1325.46
2020-10-05,XLC,105.78,1431.24
2020-10-05,XLV,66.42,1497.66
2020-10-05,IWM,103.27,1600.93
2020-10-09,GDX,45.31,1646.24
2020-10-09,GLD,116.0,1762.24
2020-10-12,AGG,43.67,1805.91
2020-10-12,FXI,17.19,1823.1
2020-10-16,SLV,44.39,1867.49
2020-10-22,XLRE,21.44,1888.93
2020-10-27,SMH,45.07,1934.0
2020-10-28,XLE,5.85,1939.85
2020-10-28,XLK,46.03,1985.88
2020-11-02,XLI,103.93,2089.81
2020-11-04,XBI,84.89,2174.7
2020-11-09,XLF,22.56,2197.26
2020-11-09,LQD,59.11,2256.37
2020-11-10,XLP,44.04,2300.41
2020-11-10,VNQ,27.95,2328.36
2020-11-12,GLD,117.57,2445.93
2020-11-12,HYG,35.22,2481.15
2020-11-12,XLB,34.67,2515.82
2020-11-16,SPY,74.59,2590.41
2020-11-17,TLT,50.19,2640.6
2020-11-17,AGG,18.83,2659.43
2020-11-17,EWZ,12.87,2672.3
2020-11-18,XLU,32.03,2704.33
2020-11-18,XLC,116.1,2820.43
2020-11-18,XLV,191.22,3011.65
2020-11-20,EFA,-215.92,2795.73
2020-11-30,IEF,39.24,2834.97
2020-11-30,XLY,107.61,2942.58
2020-12-08,XBI,79.57,3022.15
2020-12-16,SLV,24.33,3046.48
2020-12-17,GLD,77.0,3123.48
2020-12-18,QQQ,111.81,3235.29
2020-12-18,EEM,-17.89,3217.4
2020-12-18,KRE,-111.67,3105.73
2020-12-18,IWM,-392.17,2713.56
2020-12-24,LQD,75.17,2788.73
2020-12-24,XLC,82.52,2871.25
2020-12-28,DIA,86.42,2957.67
2020-12-28,EFA,91.16,3048.83
2020-12-28,XLB,37.75,3086.58
2020-12-28,XLP,39.52,3126.1
2020-12-29,HYG,30.94,3157.04
2020-12-30,XLI,110.99,3268.03
2020-12-31,AGG,33.5,3301.53
2020-12-31,XLRE,37.43,3338.96
2021-01-04,XLV,110.23,3449.19
2021-01-05,FXI,13.74,3462.93
2021-01-06,XLU,42.74,3505.67
2021-01-15,SMH,-337.27,3168.4
2021-01-27,SMH,54.92,3223.32
2021-02-01,AGG,12.97,3236.29
2021-02-02,IEF,14.7,3250.99
2021-02-08,HYG,35.26,3286.25
2021-02-08,XLF,16.44,3302.69
2021-02-08,XLI,108.59,3411.28
2021-02-08,XLU,39.08,3450.36
2021-02-09,XLY,113.34,3563.7
2021-02-09,XLP,43.77,3607.47
2021-02-09,XLV,93.87,3701.34
2021-02-12,XLB,48.58,3749.92
2021-02-16,EWZ,20.11,3770.03
2021-02-16,XLRE,62.56,3832.59
2021-02-16,EFA,53.65,3886.24
2021-02-16,KRE,32.67,3918.91
2021-02-16,XLE,14.77,3933.68
2021-02-17,XLK,107.47,4041.15
2021-02-19,XLC,43.38,4084.53
2021-02-24,FXI,10.38,4094.91
2021-03-03,XLY,51.14,4146.05
2021-03-12,IWM,83.57,4229.62
2021-03-19,LQD,-328.49,3901.13
2021-03-26,HYG,28.38,3929.51
2021-03-29,XLC,104.06,4033.57
2021-03-29,XLK,109.93,4143.5
2021-03-30,VNQ,38.11,4181.61
2021-03-30,XLV,107.06,4288.67
2021-03-31,XLRE,33.42,4322.09
2021-03-31,XLF,17.05,4339.14
2021-03-31,QQQ,81.35,4420.49
2021-04-09,EWZ,8.67,4429.16
2021-04-12,GDX,16.2,4445.36
2021-04-14,EEM,30.88,4476.24
2021-04-16,XLI,-20.51,4455.73
2021-04-16,XLP,-113.26,4342.47
2021-04-16,XBI,-64.78,4277.69
2021-04-16,XLB,-54.45,4223.24
2021-04-16,XLU,-160.43,4062.81
2021-04-28,XLE,11.95,4074.76
2021-04-29,KRE,29.19,4103.95
2021-05-05,EWZ,11.17,4115.12
2021-05-10,FXI,15.63,4130.75
2021-05-10,TLT,27.54,4158.29
2021-05-10,EEM,38.34,4196.63
2021-05-10,HYG,26.04,4222.67
2021-05-10,XLC,106.27,4328.94
2021-05-10,XLU,26.26,4355.2
2021-05-10,XLRE,37.14,4392.34
2021-05-10,XBI,59.53,4451.87
2021-05-11,XLV,115.3,4567.17
2021-05-11,VNQ,44.15,4611.32
2021-05-12,EFA,86.58,4697.9
2021-05-12,SPY,102.94,4800.84
2021-05-12,DIA,97.32,4898.16
2021-05-12,XLI,49.46,4947.62
2021-05-12,XLP,24.01,4971.63
2021-05-19,SMH,136.24,5107.87
2021-05-20,XLK,158.07,5265.94
2021-05-20,XLB,34.59,5300.53
2021-05-21,GLD,-394.39,4906.14
2021-05-21,SLV,-12.9,4893.24
2021-05-21,XLY,1.56,4894.8
2021-06-01,IWM,97.2,4992.0
2021-06-02,EWZ,13.93,5005.93
2021-06-03,AGG,14.92,5020.85
2021-06-04,QQQ,89.95,5110.8
2021-06-10,XLF,18.38,5129.18
2021-06-10,XLU,10.84,5140.02
2021-06-11,XLK,47.38,5187.4
2021-06-14,GDX,27.1,5214.5
2021-06-17,DIA,66.38,5280.88
2021-06-23,XLY,67.64,5348.52
2021-06-24,SMH,76.85,5425.37
2021-06-28,EEM,37.72,5463.09
2021-06-29,XLC,82.85,5545.94
2021-06-30,XLP,34.29,5580.23
2021-07-02,XLI,98.18,5678.41
2021-07-06,HYG,25.83,5704.24
2021-07-06,FXI,10.81,5715.05
2021-07-07,EFA,101.99,5817.04
2021-07-16,GLD,-292.03,5525.01
2021-07-16,VNQ,-43.64,5481.37
2021-07-16,XLB,-109.26,5372.11
2021-07-16,XLRE,-50.69,5321.42
2021-07-16,XLV,-23.16,5298.26
2021-07-16,XLE,-70.8,5227.46
2021-07-16,SLV,-66.11,5161.35
2021-07-16,KRE,-111.28,5050.07
2021-07-23,GDX,19.0,5069.07
2021-07-29,XLF,13.57,5082.64
2021-08-05,LQD,92.45,5175.09
2021-08-05,IWM,73.36,5248.45
2021-08-06,TLT,22.45,5270.9
2021-08-06,XLP,28.8,5299.7
2021-08-09,HYG,31.57,5331.27
2021-08-09,XLRE,36.88,5368.15
2021-08-10,XLK,84.69,5452.84
2021-08-13,IEF,43.86,5496.7
2021-08-13,XLY,92.73,5589.43
2021-08-16,AGG,50.24,5639.67
2021-08-16,XLI,109.81,5749.48
2021-08-16,XLE,12.93,5762.41
2021-08-17,EFA,129.26,5891.67
2021-08-17,XLC,115.66,6007.33
2021-08-18,KRE,25.58,6032.91
2021-08-19,XLB,22.72,6055.63
2021-08-20,EEM,-95.93,5959.7
2021-08-20,XLU,-29.56,5930.14
2021-08-20,XLV,-307.15,5622.99
2021-08-20,EWZ,-68.63,5554.36
2021-08-30,SMH,77.11,5631.47
2021-09-07,EFA,50.22,5681.69
2021-09-10,SPY,80.69,5762.38
2021-09-13,GLD,59.84,5822.22
2021-09-16,XLY,62.7,5884.92
2021-09-16,XLU,19.04,5903.96
2021-09-20,FXI,9.12,5913.08
2021-09-20,QQQ,90.83,6003.91
2021-09-22,LQD,76.63,6080.54
2021-09-23,XLE,14.67,6095.21
