year,entry_date,exit_date,symbol,structure,exit,holding_days,pop,entry_iv,credit_usd,max_risk_usd,pnl_usd,hold_to_expiry_pnl_usd
2019,2019-12-17,2020-01-06,SMH,short_call_spread,target,20,0.772728,0.312058,83.39,416.61,56.17,79.39
2019,2019-12-17,2020-01-07,SPY,iron_condor,target,21,0.529925,0.1229,230.93,269.07,109.95,-272.07
2019,2019-12-17,2019-12-30,XBI,short_call_spread,target,13,0.756883,0.327543,100.19,399.81,50.33,96.19
2019,2019-12-17,2020-01-13,XLB,iron_condor,target,27,0.575349,0.170218,70.74,129.26,47.82,62.74
2019,2019-12-17,2020-01-17,XLC,iron_condor,expiry,31,0.638957,0.118402,68.04,431.96,-207.96,-207.96
2019,2019-12-17,2020-01-17,XLK,short_call_spread,expiry,31,0.815218,0.181073,31.87,468.13,-128.13,-128.13
2019,2019-12-17,2020-01-06,XLP,iron_condor,target,20,0.665816,0.078767,40.06,159.94,17.81,32.06
2019,2019-12-17,2020-01-07,XLRE,iron_condor,target,21,0.569296,0.19998,77.65,122.35,39.41,10.65
2019,2019-12-17,2020-01-09,XLU,iron_condor,target,23,0.610018,0.118469,48.14,151.86,22.48,2.14
2019,2019-12-17,2020-01-03,XLV,short_call_spread,target,17,0.746455,0.131271,75.7,424.3,49.37,22.7
2019,2019-12-17,2020-01-03,XLY,iron_condor,target,17,0.625005,0.161684,111.57,388.43,47.88,103.57
2019,2019-12-30,2020-01-15,EWZ,short_call_spread,target,16,0.775135,0.283028,20.85,79.15,7.4,16.85
2019,2019-12-30,2020-02-06,GDX,iron_condor,target,38,0.545988,0.453433,88.0,112.0,38.61,80.0
2019,2019-12-30,2020-02-06,SLV,iron_condor,target,38,0.511003,0.330361,48.57,51.43,18.9,40.57
2019,2019-12-30,2020-02-21,XLE,iron_condor,expiry,53,0.518174,0.361281,47.65,52.35,-53.35,-53.35
2019,2019-12-31,2020-01-09,XLI,short_put_spread,target,9,0.750696,0.175612,83.02,416.98,39.13,79.02
2020,2020-01-28,2020-03-11,AGG,iron_condor,target,43,0.629502,0.038813,53.44,146.56,40.07,-154.56
2020,2020-01-28,2020-03-20,EEM,iron_condor,expiry,52,0.531321,0.32513,91.84,108.16,-116.16,-116.16
