date,symbol,pnl_usd,cumulative_usd
2019-10-21,XLC,59.1,59.1
2019-10-21,XLK,58.25,117.35
2019-10-22,XLF,10.23,127.58
2019-10-22,XLV,71.0,198.58
2019-10-23,KRE,24.44,223.02
2019-10-23,LQD,76.81,299.83
2019-10-23,XLI,80.87,380.7
2019-10-24,XLB,28.67,409.37
2019-10-25,XLP,32.95,442.32
2019-10-25,XLU,28.29,470.61
2019-10-25,XLY,87.86,558.47
2019-10-25,DIA,70.21,628.68
2019-10-28,VNQ,41.3,669.98
2019-10-28,XLRE,38.38,708.36
2019-10-28,HYG,30.98,739.34
2019-10-30,AGG,38.67,778.01
2019-10-31,GLD,121.92,899.93
2019-10-31,IEF,48.06,947.99
2019-10-31,SLV,15.77,963.76
2019-11-01,GDX,36.12,999.88
2019-11-15,SMH,-127.71,872.17
2019-11-15,QQQ,-157.36,714.81
2019-11-15,EFA,-11.57,703.24
2019-11-15,SPY,-267.98,435.26
2019-11-29,EEM,25.84,461.1
2019-12-06,EWZ,17.54,478.64
2019-12-11,FXI,27.0,505.64
2019-12-20,IWM,-212.53,293.11
2020-01-03,AGG,22.42,315.53
2020-01-03,EFA,46.19,361.72
2020-01-03,XLY,47.88,409.6
2020-01-06,HYG,27.6,437.2
2020-01-06,IEF,34.06,471.26
2020-01-06,LQD,73.64,544.9
2020-01-06,XLP,17.81,562.71
2020-01-07,DIA,113.8,676.51
2020-01-07,SPY,109.95,786.46
2020-01-09,XLU,22.48,808.94
2020-01-09,XLI,39.13,848.07
2020-01-13,XLB,47.82,895.89
2020-01-14,KRE,41.19,937.08
2020-01-17,GLD,-309.66,627.42
2020-01-17,QQQ,-294.36,333.06
2020-01-17,XLC,-207.96,125.1
2020-02-03,SMH,101.82,226.92
2020-02-03,XLRE,39.67,266.59
2020-02-04,IWM,108.43,375.02
2020-02-04,XLV,109.93,484.95
2020-02-05,EEM,36.85,521.8
2020-02-05,XLF,5.89,527.69
2020-02-06,GDX,38.61,566.3
2020-02-06,SLV,18.9,585.2
2020-02-10,XBI,71.83,657.03
