date,symbol,pnl_usd,cumulative_usd
2019-10-21,XLC,59.1,59.1
2019-10-21,XLK,58.25,117.35
2019-10-22,XLF,10.23,127.58
2019-10-22,XLV,71.0,198.58
2019-10-23,KRE,24.44,223.02
2019-10-23,LQD,76.81,299.83
2019-10-23,XLI,80.87,380.7
2019-10-24,XLB,28.67,409.37
2019-10-25,XLP,32.95,442.32
2019-10-25,XLU,28.29,470.61
2019-10-25,XLY,87.86,558.47
2019-10-25,DIA,70.21,628.68
2019-10-28,VNQ,41.3,669.98
2019-10-28,XLRE,38.38,708.36
2019-10-28,HYG,30.98,739.34
2019-10-28,XBI,-206.02,533.32
2019-10-30,AGG,38.67,571.99
2019-10-31,GLD,121.92,693.91
2019-10-31,IEF,48.06,741.97
2019-10-31,SLV,15.77,757.74
2019-11-01,GDX,36.12,793.86
2019-11-01,IWM,-241.56,552.3
2019-11-05,EWZ,-45.9,506.4
2019-11-12,XLE,8.45,514.85
2019-11-13,FXI,17.99,532.84
2019-11-15,SMH,-127.71,405.13
2019-11-15,QQQ,-157.36,247.77
2019-11-15,EFA,-11.57,236.2
2019-11-15,SPY,-267.98,-31.78
2019-11-29,EEM,25.84,-5.94
2020-01-03,AGG,22.42,16.48
2020-01-03,EFA,46.19,62.67
2020-01-03,XLV,49.37,112.04
2020-01-03,XLY,47.88,159.92
2020-01-06,HYG,27.6,187.52
2020-01-06,IEF,34.06,221.58
2020-01-06,IWM,107.57,329.15
2020-01-06,LQD,73.64,402.79
2020-01-06,XLP,17.81,420.6
2020-01-07,DIA,113.8,534.4
2020-01-07,SPY,109.95,644.35
2020-01-09,XLU,22.48,666.83
2020-01-09,XLI,39.13,705.96
2020-01-13,XLB,47.82,753.78
2020-01-14,KRE,41.19,794.97
2020-01-15,FXI,21.0,815.97
2020-01-15,EWZ,7.4,823.37
2020-01-16,XLC,-164.55,658.82
2020-01-17,GLD,-309.66,349.16
2020-01-17,QQQ,-294.36,54.8
2020-01-23,XBI,48.88,103.68
2020-02-03,SMH,101.82,205.5
