date,symbol,pnl_usd,cumulative_usd
2019-10-14,XLU,7.6,7.6
2019-10-14,EFA,16.28,23.88
2019-10-15,XLB,9.95,33.83
2019-10-15,XLC,23.61,57.44
2019-10-15,XLF,1.28,58.72
2019-10-15,XLI,33.77,92.49
2019-10-15,XLV,33.48,125.97
2019-10-16,LQD,39.54,165.51
2019-10-16,SMH,37.38,202.89
2019-10-16,XLK,23.78,226.67
2019-10-16,XLRE,13.34,240.01
2019-10-16,XLY,32.74,272.75
2019-10-17,DIA,56.5,329.25
2019-10-17,SPY,56.74,385.99
2019-10-17,VNQ,17.48,403.47
2019-10-17,XLP,14.13,417.6
2019-10-18,AGG,10.68,428.28
2019-10-18,IEF,16.87,445.15
2019-10-18,QQQ,58.36,503.51
2019-10-21,KRE,15.6,519.11
2019-10-21,HYG,10.85,529.96
2019-10-21,IWM,65.19,595.15
2019-10-23,TLT,22.06,617.21
2019-10-23,GDX,22.1,639.31
2019-10-24,GLD,65.15,704.46
2019-10-24,SLV,6.93,711.39
2019-10-30,XLE,2.93,714.32
2019-10-31,FXI,2.2,716.52
2019-11-08,EWZ,3.33,719.85
2019-11-15,XBI,-239.24,480.61
2019-11-20,EEM,8.57,489.18
2019-12-30,AGG,6.24,495.42
2019-12-30,EFA,20.3,515.72
2019-12-30,IWM,42.52,558.24
2019-12-30,LQD,19.31,577.55
2019-12-30,XLB,5.94,583.49
2019-12-30,XLP,4.33,587.82
2019-12-30,XLU,4.64,592.46
2019-12-30,XLV,18.13,610.59
2019-12-30,XLY,24.71,635.3
2019-12-31,DIA,52.4,687.7
2019-12-31,FXI,4.4,692.1
2019-12-31,HYG,4.67,696.77
2019-12-31,IEF,13.72,710.49
2020-01-02,KRE,16.54,727.03
2020-01-02,TLT,21.62,748.65
2020-01-03,SPY,65.25,813.9
2020-01-07,EWZ,7.15,821.05
2020-01-08,XLI,19.64,840.69
2020-01-13,XBI,23.18,863.87
2020-01-17,GLD,-187.16,676.71
2020-01-17,QQQ,-243.15,433.56
2020-01-17,XLC,-149.8,283.76
2020-01-21,XLF,2.21,285.97
2020-01-23,EEM,16.68,302.65
2020-01-23,SLV,4.16,306.81
2020-01-24,GDX,16.07,322.88
2020-01-24,SMH,46.85,369.73
2020-01-27,VNQ,19.54,389.27
2020-01-27,XLRE,12.85,402.12
2020-01-31,XLC,16.11,418.23
2020-02-06,XLV,22.01,440.24
2020-02-18,EFA,32.08,472.32
2020-02-18,HYG,10.06,482.38
2020-02-18,IEF,9.13,491.51
2020-02-18,KRE,12.09,503.6
2020-02-19,AGG,8.12,511.72
2020-02-19,LQD,19.15,530.87
2020-02-21,XLK,-26.91,503.96
2020-02-21,DIA,59.02,562.98
2020-02-21,IWM,48.04,611.02
2020-02-24,XLB,14.61,625.63
2020-02-24,XLP,10.79,636.42
2020-02-24,XLY,38.09,674.51
2020-02-24,XLU,5.39,679.9
2020-02-28,GLD,39.92,719.82
2020-03-02,FXI,8.58,728.4
2020-03-12,EEM,13.93,742.33
2020-03-12,SLV,4.59,746.92
2020-03-18,TLT,48.81,795.73
2020-03-20,EWZ,-80.29,715.44
2020-03-20,SPY,-374.59,340.85
2020-05-13,VNQ,8.96,349.81
2020-05-13,XLF,1.31,351.12
2020-05-26,AGG,14.3,365.42
2020-05-26,GLD,55.61,421.03
2020-05-26,LQD,49.69,470.72
2020-05-27,XBI,55.13,525.85
2020-05-27,GDX,20.19,546.04
2020-05-28,SMH,56.02,602.06
2020-05-29,IEF,5.22,607.28
2020-06-01,XLV,59.98,667.26
2020-06-03,SLV,2.95,670.21
2020-06-04,XLK,37.37,707.58
2020-06-11,IWM,36.37,743.95
2020-06-11,QQQ,95.7,839.65
2020-06-11,TLT,20.35,860.0
2020-06-11,XLE,4.32,864.32
2020-06-11,XLC,59.29,923.61
2020-06-11,XLB,9.17,932.78
2020-06-19,XLI,39.37,972.15
