date,symbol,pnl_usd,cumulative_usd
2019-10-02,XLV,33.58,33.58
2019-10-11,XLK,35.62,69.2
2019-10-15,QQQ,76.59,145.79
2019-10-15,XLY,40.16,185.95
2019-10-17,XLI,53.68,239.63
2019-10-18,VNQ,17.87,257.5
2019-10-21,XLF,16.17,273.67
2019-10-23,KRE,24.44,298.11
2019-10-25,XLB,19.67,317.78
2019-10-25,DIA,70.21,387.99
2019-10-31,SLV,15.77,403.76
2019-10-31,GDX,35.9,439.66
2019-11-12,EWZ,7.87,447.53
2019-11-12,XLE,8.45,455.98
2019-11-13,FXI,17.99,473.97
2019-11-15,SMH,-127.6,346.37
2019-11-15,IWM,-405.88,-59.51
2019-11-15,XBI,-419.31,-478.82
2019-11-18,SPY,60.55,-418.27
2019-12-04,XLU,4.73,-413.54
2019-12-20,XLRE,-45.3,-458.84
2019-12-20,XLC,-42.04,-500.88
2020-01-03,XLV,49.37,-451.51
2020-01-09,XLI,39.13,-412.38
2020-01-15,EWZ,7.4,-404.98
2020-01-16,DIA,80.29,-324.69
2020-01-23,XBI,48.88,-275.81
2020-02-05,XLF,5.89,-269.92
2020-02-10,SLV,11.71,-258.21
2020-02-11,XLV,50.31,-207.9
2020-02-11,XLY,29.15,-178.75
2020-02-14,GLD,52.99,-125.76
2020-02-24,XLC,52.64,-73.12
2020-02-25,FXI,10.46,-62.66
2020-02-26,VNQ,25.15,-37.51
2020-03-09,LQD,26.05,-11.46
2020-03-12,EEM,24.62,13.16
2020-03-12,SLV,10.67,23.83
2020-03-12,XLP,28.2,52.03
2020-03-20,KRE,-162.57,-110.54
2020-05-15,VNQ,19.04,-91.5
2020-05-29,XLV,50.98,-40.52
2020-06-11,XLE,7.32,-33.2
2020-06-11,IEF,14.17,-19.03
2020-06-15,LQD,51.98,32.95
2020-06-15,AGG,19.42,52.37
2020-06-18,TLT,32.43,84.8
2020-06-18,XLF,10.62,95.42
2020-06-19,IWM,99.07,194.49
2020-06-19,XLI,-240.47,-45.98
2020-06-19,XLB,26.59,-19.39
2020-06-23,GLD,66.39,47.0
2020-06-23,GDX,34.03,81.03
2020-06-26,KRE,14.31,95.34
2020-06-30,SLV,15.54,110.88
2020-07-06,SPY,85.44,196.32
2020-07-10,XLP,26.15,222.47
2020-07-13,EWZ,7.92,230.39
2020-07-27,SMH,61.04,291.43
2020-08-07,XLY,-32.7,258.73
2020-08-07,FXI,7.6,266.33
2020-08-07,EWZ,8.03,274.36
2020-08-18,IWM,48.94,323.3
2020-08-18,EEM,23.35,346.65
2020-08-21,KRE,14.52,361.17
2020-08-24,EFA,55.49,416.66
2020-09-02,LQD,47.61,464.27
2020-09-08,XLB,20.27,484.54
2020-09-08,GLD,84.59,569.13
2020-09-08,XLI,72.04,641.17
2020-09-14,XBI,107.01,748.18
2020-09-16,SPY,65.85,814.03
2020-09-22,FXI,9.35,823.38
2020-10-05,XLV,66.42,889.8
2020-10-05,IWM,103.27,993.07
2020-10-09,GDX,45.31,1038.38
2020-10-12,TLT,43.69,1082.07
2020-10-16,SLV,44.39,1126.46
2020-10-28,XLE,5.85,1132.31
2020-11-04,XBI,84.89,1217.2
2020-11-09,XLF,22.56,1239.76
2020-11-09,XLRE,28.5,1268.26
2020-11-09,EFA,68.76,1337.02
2020-11-09,HYG,18.74,1355.76
2020-11-10,XLU,14.7,1370.46
2020-11-10,VNQ,27.95,1398.41
2020-11-16,SPY,74.59,1473.0
2020-11-17,EWZ,12.87,1485.87
2020-11-24,XLC,58.46,1544.33
2020-11-30,XLK,67.44,1611.77
